"","x_mean","y_mean","z_mean","x_variance","y_variance","z_variance","x_sd","y_sd","z_sd","x_max","y_max","z_max","x_min","y_min","z_min","x_range","y_range","z_range","ODBA"
"1385",2.844099246485,3.491138695715,-8.9595786733225,0.676551041557576,3.50846507146505,1.10875441760226,0.822527228459688,1.87308971260456,1.05297408211326,4.390488887,7.8208739962,-7.5714749352,0.6174124997,0.2938478669,-12.8166416294,3.7730763873,7.5270261293,5.2451666942,3.19239448001727
"1386",3.570702290165,-1.4811062676375,-9.112654144835,0.481543782742679,4.43070138454623,0.540239523267886,0.693933557873287,2.10492313031764,0.735009879707672,6.1055236085,0.8137325545,-6.7814079854,1.6693004623,-6.9393303955,-10.4025481718,4.4362231462,7.75306295,3.6211401864,1.50070997354667
"1387",2.323872047635,-4.81345409682,-8.4361593191025,0.501712855747335,3.36852362878438,0.671105197292921,0.708316917592213,1.83535381569451,0.819210105707273,3.7959435169,-1.3336172421,-6.5619449438,0.3430069443,-8.385966048,-10.8195279509,3.4529365726,7.0523488059,4.2575830071,2.2937588266397
"1388",2.69260451276,-4.498132731945,-8.59801331228,0.52311343852704,4.17678437047936,1.21354791603071,0.723265814570992,2.04371827081899,1.10161150866842,3.8874120354,-0.1356220924,-5.5304686483,0.7088810182,-9.4257354232,-12.0485209838,3.1785310172,9.2901133308,6.5180523355,2.33928917111273
"1389",3.06819711676,3.06336401254,-9.04955852037,0.305588388982452,3.34772073458989,0.916809656711814,0.552800496546858,1.82967776796623,0.95750177896013,4.9621671275,6.4194457079,-7.7689916726,2.0809087954,-0.5650920518,-11.521809684,2.8812583321,6.9845377597,3.7528180114,2.77161220267303
"1390",2.9572915380925,1.8438953648675,-9.5515802280325,0.308926940229045,1.97033902787748,0.253774712579386,0.555811964812782,1.40368765324679,0.503760570687491,3.8188106465,5.0406211016,-8.4493271016,1.5320976845,-0.4746773235,-11.2365077299,2.286712962,5.5152984251,2.7871806283,1.7568742347597
"1391",3.076200612135,3.278664084265,-8.9436676028025,0.756952472914673,3.81533535360616,1.53761771672519,0.870030156324867,1.9532883436928,1.24000714382023,5.7396495346,6.6906898927,-7.000871027,0.8918180552,-0.6102994159,-12.3777155462,4.8478314794,7.3009893086,5.3768445192,3.43434969218818
"1392",3.1036411676725,2.66327883991,-9.218545062405,0.272420083450314,3.29303588439389,0.98037135217531,0.521938773660583,1.81467239037626,0.990137037068764,4.6877615721,6.2160125693,-7.7031527602,2.1266430547,-0.4294699593,-11.6973801173,2.5611185174,6.6454825286,3.9942273571,2.76786821833758
"1393",3.042471595935,3.4216323733475,-8.8608203045975,1.15320666239277,4.20509984843921,2.4730066467072,1.07387460273198,2.05063401133386,1.57257961537952,5.4652439792,7.436611401,-7.132548852,0.2744055554,-0.3842625952,-13.3652992334,5.1908384238,7.8208739962,6.2327503814,4.17453645996697
"1394",3.07277054269,3.5702515829575,-8.96835719499,1.38692502625132,3.35765006600483,2.159886134728,1.17767781088518,1.8323891688189,1.46965510740718,6.5171319417,7.3914040369,-7.264226677,-0.2058041666,0.0678110462,-13.3652992334,6.7229361083,7.3235929907,6.1010725564,3.25852787587
"1395",2.8435275682475,3.412590900515,-9.1110081720275,0.797566485153887,3.86615386625776,1.4304604760876,0.893065778738547,1.96625376446118,1.19601859353758,5.0765027756,7.2331782624,-6.6936227688,0.8460837959,0.2034331386,-11.7193264214,4.2304189797,7.0297451238,5.0257036526,3.73579137411576
"1396",3.0584785866725,-2.163172374105,-9.5406070759525,0.469482093185337,2.89944730161588,1.54707762555263,0.685187633561302,1.70277635102672,1.24381575225297,4.6877615721,0.971958329,-7.6153675435,1.3491606476,-5.7865426099,-15.2965739995,3.3386009245,6.7585009389,7.681206456,2.65677108146455
"1397",2.9218474872025,3.729042449505,-8.857528358975,1.13305568995218,3.19778347453936,2.3633667975025,1.06445088658528,1.78823473697928,1.53732455828381,7.0888101822,7.0071414417,-6.4302671189,1.0747550921,0.9945620111,-14.6162385706,6.0140550901,6.0125794306,8.1859714517,3.82185402254364
"1398",2.7526307280075,3.65218993046,-8.9294025051025,1.07044645738731,2.92558806701936,1.4086912622847,1.03462382409613,1.71043505197343,1.18688300277858,6.8830060156,6.6002751644,-6.8253005938,0.7088810182,0.8363362366,-12.0046283755,6.1741249974,5.7639389278,5.1793277817,3.20509649796
"1399",2.9858754501325,4.2065452332275,-8.6402599477975,0.340341500765386,2.49169131807082,1.09695917099043,0.583387950480113,1.57850920747103,1.04735818657727,5.1222370349,7.436611401,-6.7375153771,2.1952444435,1.0623730573,-11.653487509,2.9269925914,6.3742383437,4.9159721319,2.48314008017939
"1400",2.51595593644,4.8162795570675,-8.466884144935,0.243633458846265,3.25497841469875,1.20282123155082,0.493592401528088,1.80415587317137,1.09673206917224,3.4072023134,8.3407586838,-6.2985892939,1.4634962957,1.8761056118,-10.4683870843,1.9437060177,6.464653072,4.1697977904,2.40088775314576
"1401",2.6491569664825,5.1977166919975,-8.2951543148825,0.422281146148045,3.14620512261413,1.73544836867592,0.649831629076367,1.77375452715818,1.31736417465935,4.1389504612,8.9962654639,-5.5743612566,1.5092305549,2.0569350684,-10.8853668634,2.6297199063,6.9393303955,5.3110056068,2.94845669653818
"1402",2.94185622562,3.9353010484,-8.702806914645,0.394419662243995,3.05619953434471,0.918005112560673,0.628028392864523,1.74819894015089,0.958125833364633,4.6877615721,7.75306295,-6.715569073,1.623566203,0.3842625952,-11.6973801173,3.0641953691,7.3688003548,4.9818110443,2.93478350519333
"1403",2.9104139223925,3.377555193315,-8.9826222926825,0.64408530666457,3.3016823318554,1.32792420328696,0.802549254977269,1.81705320006196,1.15235593602279,5.6253138865,7.436611401,-7.132548852,1.0290208329,0.4520736414,-11.9607357672,4.5962930536,6.9845377596,4.8281869152,3.26056242683879
"1404",2.9710118158775,4.545600464285,-8.474016693785,0.324721371425333,3.27251792994947,0.98768827054829,0.569843286724809,1.80901020725409,0.99382507039634,4.5048245351,8.1373255452,-6.3424819022,1.8979717585,1.3562209242,-10.6439575176,2.6068527766,6.781104621,4.3014756154,3.07949946081727
"1405",2.9773002765225,2.9486503260375,-9.15709541076,1.07180098404197,3.63483421172406,1.50327954444411,1.03527821576713,1.90652411779239,1.22608300879023,7.3632157376,7.436611401,-7.4836897186,0.8918180552,-0.9041472828,-13.3214066251,6.4713976824,8.3407586838,5.8377169065,3.53617709807636
