"","x_freqmain","y_freqmain","z_freqmain","x_freqamp","y_freqamp","z_freqamp","x_entropy","y_entropy","z_entropy"
"1",4.4795,3.4255,5.0065,9.85368262845259,9.23680530355263,27.2547359206279,0.394722434777073,0.420977753268376,0.417677672196861
"2",3.162,3.162,3.162,32.0683996462642,30.7510444193352,91.0943471521772,0.392687950632926,0.380295556577308,0.357007031222424
"3",3.4255,1.8445,0.7905,20.64599887619,11.3598320972636,36.4692446354879,0.407157470858501,0.389165530401647,0.415696575606574
"4",3.162,3.162,3.162,35.7365362894297,46.7429498220459,146.863254121061,0.370534848030778,0.336733837790222,0.320847529229056
"5",3.162,5.27,0.527,30.0348568376837,23.5406471229585,70.7213195119987,0.396199432425865,0.385353690292258,0.379743306804771
"6",5.0065,0.527,1.581,31.0481664455768,31.3206321052097,24.7659600181296,0.402867024811063,0.382353718877866,0.408052692005575
"7",3.4255,3.4255,3.4255,59.9372457693787,52.9942115201006,217.88514527512,0.369603691378453,0.350392383452086,0.267582049441168
"8",3.162,3.4255,3.4255,28.2118038074735,37.7322141346107,143.143009330034,0.348319096854378,0.336449835990741,0.291021120084269
"9",2.3715,2.3715,3.162,23.3185118132783,12.6196851545625,30.7890865656641,0.381670163461988,0.405843429485417,0.390630737788174
"10",3.689,3.4255,3.4255,46.4426692516796,98.6557853195741,172.874849957728,0.389109243947845,0.351180316542051,0.362022476792486
"11",3.162,2.8985,3.162,21.029039466191,31.0487740443459,102.239277352562,0.365243388155981,0.367245796057015,0.339578461188154
"12",3.689,3.4255,3.4255,36.5514116265611,40.1389192893974,141.785757774993,0.376111576283714,0.359706785049261,0.34734154959519
"13",3.689,4.743,3.162,23.8393908607218,17.8405844834027,66.7560164468736,0.361439963588633,0.388689346781434,0.366712193121134
"14",4.4795,3.162,3.162,16.7416697359499,34.6949677440138,115.068525801269,0.365024920697749,0.364453613777879,0.353491583010113
"15",3.689,4.743,3.689,43.9423816753166,27.7517178255351,121.738474430996,0.362591813706491,0.393389864002959,0.348804794787418
"16",3.4255,3.162,3.162,19.2390206875916,58.1281998377769,132.716698853011,0.390670646262337,0.330862651540885,0.313005402288436
"17",3.4255,3.4255,3.4255,51.8770059144605,56.4474789987358,199.728364502904,0.315871563171751,0.248195594091198,0.161202120019487
"18",3.162,3.162,3.162,30.8685219588665,33.7736756121627,113.974444167148,0.376602740599774,0.347800622312603,0.352683549221031
"19",3.689,3.689,3.9525,53.2613359657502,75.3080553410399,144.983429917791,0.3910564666245,0.363984363192922,0.334680187073004
"20",3.162,3.162,3.4255,21.1207225841692,37.2743740688489,134.582458383702,0.390814333737655,0.362625402171747,0.32848170919606
"21",2.635,3.162,3.162,34.8735464510283,29.6620032419708,121.091236456076,0.408948906583247,0.383488678079365,0.374355278988172
"22",3.162,3.162,3.162,35.9165408794449,35.287731809476,128.218478480676,0.403127438649459,0.393249657827738,0.365604590347454
"23",3.4255,3.162,3.162,58.1511034673115,30.7473018372449,66.9258009983545,0.397122936821194,0.381754507847518,0.373232271461429
"24",3.162,3.162,3.162,51.2255688646068,42.7364465016267,105.793392455873,0.37958633109472,0.404326886913988,0.371393766076149
